"","upwind_dist_km","site_Dd18O","site_DW","site_DP","dist_inland_km","M_factorChange","site_region"
"1518",5470.09429859906,-1.71578694978658,-5.74431265638855,4.94191872537904e-06,3000,1.63636363636364,"inland"
"1519",2570.09429859906,-0.693831704014825,-3.29758180427789,8.76824002652318e-06,100,1.46341463414634,"coast"
"1520",3970.09429859906,-1.04122446824506,-3.96851101693571,6.0286454165823e-06,1500,1.46341463414634,"middle"
"1521",5470.09429859906,-1.29812375766658,-4.39945615350344,4.27428361136867e-06,3000,1.46341463414634,"inland"
"1522",2570.09429859906,-0.494190424200625,-2.380987574905,6.59258029824669e-06,100,1.32352941176471,"coast"
"1523",3970.09429859906,-0.743378577705234,-2.86612003364793,4.72856026776722e-06,1500,1.32352941176471,"middle"
"1524",5470.09429859906,-0.932010792809579,-3.19172133406921,3.47777434220468e-06,3000,1.32352941176471,"inland"
"1525",2570.09429859906,-0.323045664934907,-1.5752709157685,4.51637337029163e-06,100,1.20805369127517,"coast"
"1526",3970.09429859906,-0.484735861617458,-1.88956850297443,3.37273660858684e-06,1500,1.20805369127517,"middle"
"1527",5470.09429859906,-0.610219577882987,-2.1100446557043,2.56889132432395e-06,3000,1.20805369127517,"inland"
"1528",2570.09429859906,-0.174850081040789,-0.861896583654598,2.54745901391083e-06,100,1.11111111111111,"coast"
"1529",3970.09429859906,-0.260269102421828,-1.02642485480185,1.97692390521165e-06,1500,1.11111111111111,"middle"
"1530",5470.09429859906,-0.328389846756094,-1.1471281901391,1.55696708129453e-06,3000,1.11111111111111,"inland"
"1531",2729.07435101012,-3.25348692510596,-13.6129582242284,1.77097375466122e-05,100,4,"coast"
"1532",4129.07435101012,-4.34681556968353,-14.8894342865494,8.4635796338794e-06,1500,4,"middle"
"1533",5629.07435101012,-4.99417380070843,-15.4382429291898,4.36087491780228e-06,3000,4,"inland"
"1534",2729.07435101012,-2.55951368970464,-11.0739974488838,1.73182615884833e-05,100,3.10344827586207,"coast"
"1535",4129.07435101012,-3.50487854003112,-12.3816959524116,9.07432365774667e-06,1500,3.10344827586207,"middle"
"1536",5629.07435101012,-4.10062646135723,-13.0097177407468,5.08521408048477e-06,3000,3.10344827586207,"inland"
"1537",2729.07435101012,-2.01941570503361,-8.99690192307346,1.60249911169384e-05,100,2.53521126760563,"coast"
"1538",4129.07435101012,-2.81962497219734,-10.2388580417203,9.02866456141863e-06,1500,2.53521126760563,"middle"
"1539",5629.07435101012,-3.34796974151352,-10.8861088899329,5.38804489031989e-06,3000,2.53521126760563,"inland"
"1540",2729.07435101012,-1.59049443159143,-7.26517232652906,1.42670128149121e-05,100,2.14285714285714,"coast"
"1541",4129.07435101012,-2.25567882128586,-8.3838719016404,8.54036753784756e-06,1500,2.14285714285714,"middle"
"1542",5629.07435101012,-2.71110592367774,-9.00604296164163,5.36881373268684e-06,3000,2.14285714285714,"inland"
"1543",2729.07435101012,-1.24279291753293,-5.79891978794364,1.22907525972492e-05,100,1.85567010309278,"coast"
"1544",4129.07435101012,-1.78448184500002,-6.76227708426235,7.7554021848154e-06,1500,1.85567010309278,"middle"
"1545",5629.07435101012,-2.16651186755412,-7.32816584162033,5.10167693263356e-06,3000,1.85567010309278,"inland"
"1546",2729.07435101012,-0.955708115572662,-4.54134696590603,1.02368710735033e-05,100,1.63636363636364,"coast"
"1547",4129.07435101012,-1.38502316678346,-5.3340978882914,6.77232640720881e-06,1500,1.63636363636364,"middle"
"1548",5629.07435101012,-1.69566382912656,-5.82284905732007,4.64117986843924e-06,3000,1.63636363636364,"inland"
"1549",2729.07435101012,-0.714881508166676,-3.45092626411079,8.1857923749765e-06,100,1.46341463414634,"coast"
"1550",4129.07435101012,-1.04219779412962,-4.06951142399765,5.65677497103355e-06,1500,1.46341463414634,"middle"
"1551",5629.07435101012,-1.28472639321275,-4.46839313139671,4.02622064679393e-06,3000,1.46341463414634,"inland"
"1552",2729.07435101012,-0.510104714568804,-2.4965982424083,6.18283399171229e-06,100,1.32352941176471,"coast"
"1553",4129.07435101012,-0.745298224942958,-2.94621929964089,4.45145228971045e-06,1500,1.32352941176471,"middle"
"1554",5629.07435101012,-0.923729346021251,-3.2490267151493,3.28317683806951e-06,3000,1.32352941176471,"inland"
"1555",2729.07435101012,-0.333975071574066,-1.65468423206081,4.25251815384199e-06,100,1.20805369127517,"coast"
"1556",4129.07435101012,-0.486911609473895,-1.94761076040661,3.18336107900686e-06,1500,1.20805369127517,"middle"
"1557",5629.07435101012,-0.605850367381366,-2.15362673562906,2.42876376959183e-06,3000,1.20805369127517,"inland"
"1558",2729.07435101012,-0.181023310216188,-0.906810146817321,2.4069972648282e-06,100,1.11111111111111,"coast"
"1559",4129.07435101012,-0.262066045660592,-1.06114963800088,1.8697478675354e-06,1500,1.11111111111111,"middle"
"1560",5629.07435101012,-0.326793488473087,-1.1745221023654,1.47335545960734e-06,3000,1.11111111111111,"inland"
"1561",2891.35526206797,-3.25174293675756,-13.7680709843437,1.66626917143976e-05,100,4,"coast"
"1562",4291.35526206797,-4.29887011875518,-14.9603557379569,8.02213466864796e-06,1500,4,"middle"
"1563",5791.35526206797,-4.92028556720192,-15.4744499815667,4.14525299282287e-06,3000,4,"inland"
"1564",2891.35526206797,-2.56908014946133,-11.2263364012004,1.64147227400732e-05,100,3.10344827586207,"coast"
"1565",4291.35526206797,-3.47859364644099,-12.4577617681285,8.65493108704048e-06,1500,3.10344827586207,"middle"
"1566",5791.35526206797,-4.05240746626645,-13.0507671866121,4.86834527926171e-06,3000,3.10344827586207,"inland"
"1567",2891.35526206797,-2.03295414184357,-9.13832030693133,1.52740870482071e-05,100,2.53521126760563,"coast"
"1568",4291.35526206797,-2.80518540202412,-10.3146741863079,8.65093500648244e-06,1500,2.53521126760563,"middle"
"1569",5791.35526206797,-3.31543697033054,-10.929263873484,5.18135924338873e-06,3000,2.53521126760563,"inland"
"1570",2891.35526206797,-1.60463716325765,-7.39139636894465,1.36591078979525e-05,100,2.14285714285714,"coast"
"1571",4291.35526206797,-2.24795218517826,-8.45573442884589,8.21257800129881e-06,1500,2.14285714285714,"middle"
"1572",5791.35526206797,-2.68869960524187,-9.04903943137868,5.17951086253712e-06,3000,2.14285714285714,"inland"
"1573",2891.35526206797,-1.25593697434967,-5.90788528897972,1.18100510585987e-05,100,1.85567010309278,"coast"
"1574",4291.35526206797,-1.780632563257,-6.82771067051895,7.47957402023343e-06,1500,1.85567010309278,"middle"
"1575",5791.35526206797,-2.15095568960477,-7.36920715341781,4.93394584790682e-06,3000,1.85567010309278,"inland"
"1576",2891.35526206797,-0.967096980655557,-4.63226543850445,9.86660051709679e-06,100,1.63636363636364,"coast"
"1577",4291.35526206797,-1.38342865328334,-5.39147689965773,6.547201430007e-06,1500,1.63636363636364,"middle"
"1578",5791.35526206797,-1.68494817074405,-5.86051998641064,4.49724208940184e-06,3000,1.63636363636364,"inland"
"1579",2891.35526206797,-0.724185909046771,-3.52374679478708,7.91025905012756e-06,100,1.46341463414634,"coast"
"1580",4291.35526206797,-1.04190659349468,-4.1177649770947,5.47957542447927e-06,1500,1.46341463414634,"middle"
"1581",5791.35526206797,-1.2775751283346,-4.5015417180101,3.90715662759145e-06,3000,1.46341463414634,"inland"
"1582",2891.35526206797,-0.51721683701611,-2.55168892330233,5.98812980457338e-06,100,1.32352941176471,"coast"
"1583",4291.35526206797,-0.745728725294992,-2.98459330836809,4.31896000684453e-06,1500,1.32352941176471,"middle"
"1584",5791.35526206797,-0.919287385767187,-3.27662691681503,3.18958861231202e-06,3000,1.32352941176471,"inland"
"1585",2891.35526206797,-0.338901091930022,-1.69263907615382,4.12664786280593e-06,100,1.20805369127517,"coast"
"1586",4291.35526206797,-0.487661099370262,-1.9754701697408,3.0925909007677e-06,1500,1.20805369127517,"middle"
"1587",5791.35526206797,-0.603472273614902,-2.17462839505475,2.36131015884782e-06,3000,1.20805369127517,"inland"
"1588",2891.35526206797,-0.183824460289861,-0.928331792365302,2.3397608253654e-06,100,1.11111111111111,"coast"
"1589",4291.35526206797,-0.262777279761206,-1.07783336205388,1.81829645349533e-06,1500,1.11111111111111,"middle"
"1590",5791.35526206797,-0.3258814797793,-1.1877147625916,1.43311503988095e-06,3000,1.11111111111111,"inland"
"1591",3057.07701291851,-3.23616115435832,-14.0515042543093,1.47713330567423e-05,100,4,"coast"
"1592",4457.07701291851,-4.19654375472689,-15.091812390046,7.20857602454118e-06,1500,4,"middle"
"1593",5957.07701291851,-4.76963469609848,-15.5427854937849,3.73955566565359e-06,3000,4,"inland"
"1594",3057.07701291851,-2.57873767311534,-11.5077157609853,1.47624980462631e-05,100,3.10344827586207,"coast"
